HTML
<p><strong>Enter Your Name</strong></p>,,short,
<p><strong>Enter Your Mobile Number?</strong></p>,,short,<p>Type explanation here...</p>
POOL,80
"<p><span style=""font-size: 18px;""><strong>স্যাটেলাইটে সরল দোলকের দোলনকাল-</strong></span></p>",1,one,
*,<p>infinite</p>
,<p>zero</p>
,<p>2 sec</p>
,<p>cannot be calculated</p>
"<p><span style=""font-size: 18px;""><strong>সরল ছন্দিত স্পন্দরত কণায় সর্বোচ্চ বেগ v<sub>0</sub> ও সর্বোচ্চ ত্বরণ a<sub>0</sub> হলে বিস্তার-</strong></span></p>",1,one,
*,"<p class=""mathy"">v_0^2/a_0</p>"
,"<p class=""mathy"">v_0^2/v_0</p>"
,"<p class=""mathy"">a_0v_0</p>"
,"<p class=""mathy"">1/(a_0v_0)</p>"
"<p><span style=""font-size: 18px;""><strong>কোনো আবদ্ধ গ্যাসের তাপমাত্রা 0°C থেকে বাড়িয়ে 546°C করা হলে গ্যাসের অণুগুলোর গড় বেগ কতটুকু বদ্ধি পাবে?</strong></span></p>",1,one,
,<p>50%</p>
,<p>40%</p>
,<p>41%</p>
*,<p>73%</p>
"<p><span style=""font-size: 18px;""><strong>T তাপমাত্রায় আদর্শ গ্যাসের ক্ষেত্রে একটি অণুর গড় গতিশক্তি-</strong></span></p>",1,one,
,<p>2/3 KT</p>
,<p>3/2 KT<sup>2</sup></p>
,<p>3/2 KT<sup>4</sup></p>
*,<p>3/2 KT</p>
"<p><span style=""font-size: 18px;""><strong>30 বছর বয়সে এক নভোচারী 0.6 C বেগে গতিশীল নভোযানে চড়ে 20 বছর কাটিয়ে আসার পর তার বয়স কত?</strong></span></p>",1,one,
*,<p>46 বছর</p>
,<p>47 বছর</p>
,<p>48 বছর</p>
,<p>49 বছর</p>
"<p><span style=""font-size: 18px;""><strong>একটি সরল দোলকের দৈর্ঘ্য অপরটির দ্বিগুণ। দ্বিতীয় সরল দোলকের দোলনকাল 5s হলে প্রথমটির দোলনকাল কত?</strong></span></p>",1,one,
,<p>3 Sec</p>
*,<p>5√2 Sec</p>
,<p>3√2Sec</p>
,<p>5 Sec</p>
"<p><span style=""font-size: 18px;""><strong>কোন তাপমাত্রায় হাইড্রোজেরনর মূল গড় বর্গবেগ সাধারন চাপে ও তাপমাত্রায় মূল গড় বর্গবেগের দ্বিগুণ হবে?</strong></span></p>",1,one,
,<p>1500K</p>
,<p>1200K</p>
*,<p>1092K</p>
,<p>1002K</p>
"<p><span style=""font-size: 18px;""><strong>ওজন ঝুলানোর জন্য যদি কোন একটি স্প্রিং এর দৈর্ঘ্য x পরিমাণ বৃদ্ধি পায়, তবে স্প্রিং সঞ্চিত শক্তি পরিমাণ হবে-</strong></span></p>",1,one,
,"<p class=""mathy"">T/(2k)</p>"
,"<p class=""mathy"">T/k</p>"
,"<p class=""mathy"">T^2/(2k)</p>"
*,<p>None </p>
"<p><span style=""font-size: 18px;""><strong>40cm দীর্ঘ একটি সরল দোলক এক মিনিটে 40 বার দোল দেয়। যদি এর দৈর্ঘ্য 160cm করা হয় তবে 60 বার দুলতে কত সময় নেবে বের কত?</strong></span></p>",1,one,
*,<p>1.5min</p>
,<p>3min</p>
,<p>2 min</p>
,<p>5min</p>
"<p><span style=""font-size: 18px;""><strong>একটি বস্তুর সর্বোচ্চ বিস্তার 5m এবং 10s দোলকালে সরল ছন্দিত গতি সম্পন্ন। বস্তুটির সর্বোচ্চ বেগ কত?</strong></span></p>",1,one,
,<p>7π/4 ms<sup>-1</sup></p>
*,<p>π ms<sup>-1</sup></p>
,<p>5π/4 ms<sup>-1</sup></p>
,<p>3π/4 ms<sup>-1</sup></p>
"<p><span style=""font-size: 18px;""><strong>পাঁচটি অণুর বেগ v, 2v, 3v, 4v, 5v অণুগুলোর গড় বর্গবেগের বর্গমূল কত?</strong></span></p>",1,one,
,<p>11√v</p>
*,<p>v√11</p>
,<p>v/√11</p>
,√11<p></p>
"<p><span style=""font-size: 18px;""><strong>কোন মেঝেতে স্থাপিত 400 N এর একটি কাঠের ব্লকের উপর আনুভূমিকভাবে 160N বল প্রয়োগ করলে এটি চলার উপক্রম হয়। মেঝে ও কাঠের ব্লকের মধ্যবর্তী ঘূর্ণাঙ্ক হবে-</strong></span></p>",1,one,
,<p>4.00</p>
*,<p>0.40</p>
